sample_i	sample_j	distance	comparison_group	same_patient	same_batch
02C	07A	0.9963737556025003	Different patient	False	False
02C	07B	0.9912939119503501	Different patient	False	False
02C	07C	0.26839145801090136	Different patient	False	False
02C	07D	0.9924874739538446	Different patient	False	False
02C	08B	0.7927350952239928	Different patient	False	False
02C	09A	0.9923549874045468	Different patient	False	False
02C	10A	0.9005681337058781	Different patient	False	False
02C	10B	0.9337298902542238	Different patient	False	False
02C	10C	0.9860407211385437	Different patient	False	False
02C	11A	0.9795496731618029	Different patient	False	False
02C	11B	0.997016759788543	Different patient	False	False
02C	12A	0.9982769646231324	Different patient	False	False
02C	12B	0.9964265169939992	Different patient	False	False
02C	13B	0.9953402424576226	Different patient	False	False
02C	13C	0.990359130160071	Different patient	False	False
02C	13D	0.9809098734118507	Different patient	False	False
02C	14A	0.9992346023841783	Different patient	False	False
02C	15A	0.9966459885097116	Different patient	False	False
02C	16A	0.9974346878725765	Different patient	False	False
02C	16C	0.9223741537563245	Different patient	False	False
02C	16D	0.8992945472434958	Different patient	False	False
02C	16E	0.898447890319832	Different patient	False	False
02C	16F	0.9836033025810851	Different patient	False	False
02C	16G	0.8961471464172637	Different patient	False	False
02C	16H	0.9519302669112959	Different patient	False	False
02C	17B	0.9814705109909503	Different patient	False	False
02C	17C	0.9955639689262716	Different patient	False	False
02C	17G	0.8548012384290258	Different patient	False	False
02C	17I	0.781226665258885	Different patient	False	False
02C	20B	0.9982708997034655	Different patient	False	False
02C	20C	0.9983305316599357	Different patient	False	False
02H	02I	0.8535834460303109	Same patient, different batch date	True	False
02H	02J	0.8842305887143794	Same patient, different batch date	True	False
02H	02K	0.9378120757962748	Same patient, different batch date	True	False
02H	02L	0.9071495552266289	Same patient, different batch date	True	False
02H	02M	0.8671608065557471	Same patient, different batch date	True	False
02H	02N	0.808146217494454	Same patient, different batch date	True	False
02H	02O	0.9590914338865429	Same patient, different batch date	True	False
02H	03A	0.8887113952699311	Different patient	False	False
02H	03B	0.9309769295382444	Different patient	False	False
02H	03C	0.840650022046076	Different patient	False	False
02H	03D	0.9264033222140191	Different patient	False	False
02H	03E	0.8217229063732207	Different patient	False	False
02H	03F	0.8977243147041785	Different patient	False	False
02H	03I	0.9228626853366229	Different patient	False	False
02H	04B	0.8854464598382138	Different patient	False	False
02H	04C	0.8837252097445898	Different patient	False	False
02H	05C	0.8716866065631433	Different patient	False	False
02H	05E	0.8868577115132215	Different patient	False	False
02H	05F	0.8821007395395228	Different patient	False	False
02H	05G	0.8482756092530253	Different patient	False	False
02H	06A	0.9697216429428279	Different patient	False	False
02H	07A	0.96091002095823	Different patient	False	False
02H	07B	0.9576904881585802	Different patient	False	False
02H	07C	0.8999045352839223	Different patient	False	False
02H	07D	0.9657764284795368	Different patient	False	False
02H	08B	0.8996653302379193	Different patient	False	False
02H	09A	0.9269862946940198	Different patient	False	False
02H	10A	0.8473504716649801	Different patient	False	False
02H	10B	0.8695478625055327	Different patient	False	False
02H	10C	0.9379412212701415	Different patient	False	False
02H	11A	0.8897792640076958	Different patient	False	False
02H	11B	0.9381629693294898	Different patient	False	False
02H	12A	0.961412709283159	Different patient	False	False
02H	12B	0.957414070006878	Different patient	False	False
02H	13B	0.973324792567516	Different patient	False	False
02H	13C	0.9403837909136731	Different patient	False	False
02H	13D	0.9093449369511457	Different patient	False	False
02H	14A	0.9628468144788839	Different patient	False	False
02H	15A	0.9846606659741188	Different patient	False	False
02H	16A	0.9738849617527849	Different patient	False	False
02H	16C	0.8816634366240125	Different patient	False	False
02H	16D	0.8389830161809838	Different patient	False	False
02H	16E	0.8370593833621641	Different patient	False	False
02H	16F	0.9510180177059894	Different patient	False	False
02H	16G	0.8594949327556268	Different patient	False	False
02H	16H	0.9277880067631761	Different patient	False	False
02H	17B	0.9025341494994114	Different patient	False	False
02H	17C	0.9718863869216077	Different patient	False	False
02H	17G	0.8065832681001184	Different patient	False	False
02H	17I	0.8891337659473757	Different patient	False	False
02H	20B	0.9396654981225306	Different patient	False	False
02H	20C	0.971869024505356	Different patient	False	False
02I	02J	0.7413155135936237	Same patient, same batch date	True	True
02I	02K	0.9591414428958234	Same patient, different batch date	True	False
02I	02L	0.9689784760859911	Same patient, different batch date	True	False
02I	02M	0.8066419213817237	Same patient, different batch date	True	False
02I	02N	0.49667398812520425	Same patient, different batch date	True	False
02I	02O	0.9970035207060222	Same patient, different batch date	True	False
02I	03A	0.8284184742474221	Different patient	False	False
02I	03B	0.9752206608760045	Different patient	False	False
02I	03C	0.9603117431482625	Different patient	False	False
02I	03D	0.9674049550358464	Different patient	False	False
02I	03E	0.7346753265365501	Different patient	False	False
02I	03F	0.9439271810558783	Different patient	False	False
02I	03I	0.9202339676394427	Different patient	False	False
02I	04B	0.7813125522885872	Different patient	False	False
02I	04C	0.8029980967184325	Different patient	False	False
02I	05C	0.7950649835050793	Different patient	False	False
02I	05E	0.7992182353596721	Different patient	False	False
02I	05F	0.7831120404420153	Different patient	False	False
02I	05G	0.7155733784921884	Different patient	False	False
02I	06A	0.8490065868000177	Different patient	False	False
02I	07A	0.849081473978511	Different patient	False	False
02I	07B	0.8295975664597988	Different patient	False	False
02I	07C	0.9219534858666607	Different patient	False	False
02I	07D	0.847149719603094	Different patient	False	False
02I	08B	0.8170337795257352	Different patient	False	False
02I	09A	0.9373650833550987	Different patient	False	False
02I	10A	0.9369609547524157	Different patient	False	False
02I	10B	0.9388288299177644	Different patient	False	False
02I	10C	0.9815960087205973	Different patient	False	False
02I	11A	0.9201223465906349	Different patient	False	False
02I	11B	0.968386752469876	Different patient	False	False
02I	12A	0.9983901747638431	Different patient	False	False
02I	12B	0.9972914854127946	Different patient	False	False
02I	13B	0.9439905949118663	Different patient	False	False
02I	13C	0.9851225658851529	Different patient	False	False
02I	13D	0.963555175893468	Different patient	False	False
02I	14A	0.9990606224035815	Different patient	False	False
02I	15A	0.9884665138088465	Different patient	False	False
02I	16A	0.8543311065261897	Different patient	False	False
02I	16C	0.9223750232847525	Different patient	False	False
02I	16D	0.9659334586539972	Different patient	False	False
02I	16E	0.8438648298082343	Different patient	False	False
02I	16F	0.8448352496804421	Different patient	False	False
02I	16G	0.8487691899699135	Different patient	False	False
02I	16H	0.8771622697056008	Different patient	False	False
02I	17B	0.8269410567633336	Different patient	False	False
02I	17C	0.8490900962224607	Different patient	False	False
02I	17G	0.9024331315545743	Different patient	False	False
02I	17I	0.7942012338255289	Different patient	False	False
02I	20B	0.8552760972418928	Different patient	False	False
02I	20C	0.8543213526061252	Different patient	False	False
02J	02K	0.918010324797378	Same patient, different batch date	True	False
02J	02L	0.9621762998439662	Same patient, different batch date	True	False
02J	02M	0.8390365279886182	Same patient, different batch date	True	False
02J	02N	0.6614147611186432	Same patient, different batch date	True	False
02J	02O	0.9950799328308022	Same patient, different batch date	True	False
02J	03A	0.8628492226787107	Different patient	False	False
02J	03B	0.9675598020936185	Different patient	False	False
02J	03C	0.9280552485593898	Different patient	False	False
02J	03D	0.9612573334021063	Different patient	False	False
02J	03E	0.6716813901834126	Different patient	False	False
02J	03F	0.9215603337240964	Different patient	False	False
02J	03I	0.8809797160291313	Different patient	False	False
02J	04B	0.8284097106278421	Different patient	False	False
02J	04C	0.8537666981225945	Different patient	False	False
02J	05C	0.8487411852785826	Different patient	False	False
02J	05E	0.8240475993940191	Different patient	False	False
02J	05F	0.8183678971762415	Different patient	False	False
02J	05G	0.8062941889428749	Different patient	False	False
02J	06A	0.9011685114804933	Different patient	False	False
02J	07A	0.9026875267897766	Different patient	False	False
02J	07B	0.8955084324867397	Different patient	False	False
02J	07C	0.8798451054765158	Different patient	False	False
02J	07D	0.8979653285652696	Different patient	False	False
02J	08B	0.8278337745385314	Different patient	False	False
02J	09A	0.9393329389545471	Different patient	False	False
02J	10A	0.9137580445680915	Different patient	False	False
02J	10B	0.9317043836281473	Different patient	False	False
02J	10C	0.9775846546437884	Different patient	False	False
02J	11A	0.9545270920611912	Different patient	False	False
02J	11B	0.968596449826306	Different patient	False	False
02J	12A	0.9969884820178466	Different patient	False	False
02J	12B	0.9957941525199738	Different patient	False	False
02J	13B	0.9619492987454654	Different patient	False	False
02J	13C	0.9838168308156678	Different patient	False	False
02J	13D	0.9636035422589181	Different patient	False	False
02J	14A	0.9976665232171343	Different patient	False	False
02J	15A	0.9895542792311376	Different patient	False	False
02J	16A	0.9058219393754993	Different patient	False	False
02J	16C	0.8878349531042669	Different patient	False	False
02J	16D	0.9483740308981634	Different patient	False	False
02J	16E	0.8726747513714789	Different patient	False	False
02J	16F	0.8944013393074027	Different patient	False	False
02J	16G	0.875818305075948	Different patient	False	False
02J	16H	0.8796417070473194	Different patient	False	False
02J	17B	0.8748161266950331	Different patient	False	False
02J	17C	0.9019619607272875	Different patient	False	False
02J	17G	0.8708790708827252	Different patient	False	False
02J	17I	0.5913652117574696	Different patient	False	False
02J	20B	0.9064355419977096	Different patient	False	False
02J	20C	0.9064784770384199	Different patient	False	False
02K	02L	0.9700184606127464	Same patient, different batch date	True	False
02K	02M	0.9574585406574705	Same patient, different batch date	True	False
02K	02N	0.698091908471736	Same patient, different batch date	True	False
02K	02O	0.9731422902656376	Same patient, different batch date	True	False
02K	03A	0.9656175564596785	Different patient	False	False
02K	03B	0.9529673837573067	Different patient	False	False
02K	03C	0.9295770424579097	Different patient	False	False
02K	03D	0.9493834782400924	Different patient	False	False
02K	03E	0.9122609422265081	Different patient	False	False
02K	03F	0.9180341805294063	Different patient	False	False
02K	03I	0.33252055577755213	Different patient	False	False
02K	04B	0.9470067608311062	Different patient	False	False
02K	04C	0.946149712646232	Different patient	False	False
02K	05C	0.9351412320165525	Different patient	False	False
02K	05E	0.8106597380675746	Different patient	False	False
02K	05F	0.8459779819660087	Different patient	False	False
