feature	01A	01D	01E	01F	01G	02A	02B	02C	02H	02I	02J	02K	02L	02M	02N	02O	03A	03B	03C	03D	03E	03F	03I	04B	04C	05C	05E	05F	05G	06A	07A	07B	07C	07D	08B	09A	10A	10B	10C	11A	11B	12A	12B	13B	13C	13D	14A	15A	16A	16C	16D	16E	16F	16G	16H	17B	17C	17G	17I	20B	20C
Staphylococcus cohnii	3.0510327421254146e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.672830575360188e-07	1.1946543201355004e-05	0.0	0.0	2.938606129676856e-05	2.1854525760077403e-05	2.285620248766908e-05	1.4221212360356708e-05	3.426773674358072e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0011225864391558	0.0	0.0	0.0	0.0	0.0	4.859095519385147e-06	0.0	0.0	0.0005078483898104	0.0	0.0	0.0	0.0	5.064701562460432e-05	5.3198536426419006e-05	6.919475929538445e-05	0.0	0.0	0.0	5.420257335280596e-05	6.429705812382613e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001244649360629	0.0
Staphylococcus gallinarum	5.063416040123028e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.1720132262828933e-05	1.446013734501362e-05	1.687842645243255e-05	2.603883953304749e-06	1.0207410944896383e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.000804037393884e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8757203786851607e-05	2.4553170658347236e-05	2.0403582869151823e-05	0.0	0.0	0.0	1.188829675767863e-05	0.0001385958808446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001298764550221	0.0
Staphylococcus agnetis	0.000186956899943	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.846631291659672e-06	3.185744853694668e-05	0.0	0.0	5.110619355959749e-05	1.0023504295975347e-05	1.4768623145878482e-05	1.8828083970049725e-05	6.817092309627229e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.716180945285584e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001047277272237	8.644762169293088e-05	8.782411756721871e-05	0.0	0.0	0.0	2.559006251229129e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.3799661960449e-05	0.0
Staphylococcus chromogenes	5.517825171928941e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2310875277731148e-06	2.123829902463112e-05	0.0	0.0	8.688052905131573e-05	1.1831021464102052e-05	1.4416989261452804e-05	1.402091359471788e-05	4.37460469066988e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.860301575475973e-06	0.0	0.0	5.4273873720202674e-05	0.0	0.0	0.0	0.0	3.691223172640654e-05	5.064091448284117e-05	5.500096251684405e-05	0.0	6.324790649429503e-05	0.0	9.047195329148652e-05	2.1432352707942043e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001172495774505	0.0
Staphylococcus massiliensis	1.1684806246437756e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1431527043607495e-06	9.336002279577427e-05	0.0	0.0	2.683075161878868e-05	8.708946355519565e-06	1.4065355377027126e-05	1.1216730875774304e-05	3.6090488698026506e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2870352042899523e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.575271980912084e-05	4.910634131669447e-05	4.790406412757384e-05	0.0	0.0008728211096212	0.0	2.176162796320834e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001010150205727	0.0
Staphylococcus lutrae	2.4667924298035265e-05	0.0	0.0	4.838761094994558e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.788716774585912e-05	1.39671781173427e-05	1.301045372375009e-05	3.20478025022123e-06	9.84286055400723e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.144522648887331e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0518891551433976e-05	4.5525670595685496e-05	5.943652401013792e-05	0.0	0.0	0.0	1.9948158966274317e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.838814300119234e-05	0.0
Staphylococcus auricularis	1.3632273954177383e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2776548389899372e-05	9.201905583190485e-06	1.2307185954898734e-05	3.0044814845824037e-06	9.113759772228917e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4291457409956314e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7168479872747227e-05	1.4834207272751452e-05	7.274320849001954e-05	0.0	0.0	0.0	8.261358763810573e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.034974647033676e-05	0.0
Staphylococcus carnosus	1.817636527223651e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.291755823276114e-06	0.0	0.0	2.683075161878868e-05	1.0352143781089296e-05	1.12522843016217e-05	1.281912100088492e-05	3.098678322557831e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.859095519385147e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.888532786002195e-05	3.2226036489080745e-05	3.4597379647692225e-05	0.0	0.0	0.0	7.797916686816323e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001082303791851	0.0
Staphylococcus coagulans	1.2983118051597509e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.530545068304431e-06	1.0197382648344668e-05	2.804182718943576e-06	9.84286055400723e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3734783898197782e-05	3.836432915366755e-05	2.83875935570808e-05	0.0	7.589748779315405e-05	0.0	3.6269379938680568e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.231134993948118e-05	0.0
Staphylococcus equorum	0.0002784878822067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.583962960406501e-05	0.0	0.0	3.8329645169698114e-05	7.394388415063782e-06	1.0197382648344668e-05	1.34200172978014e-05	3.353863596180241e-05	0.0	0.0001208692919476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001034816639851	0.0	0.0	2.858291481991263e-06	0.0	0.0	0.0054545243088803	0.0	0.0	0.0	0.0	3.133247576776369e-05	4.961786570541004e-05	6.121074860745546e-05	0.0	0.0	0.0	2.7000538398795533e-05	0.0004331121276396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001767762860023	0.0
