X_features	Y_features	association	p-values	q-values
host_removed_fraction	Citrobacter farmeri	-0.19588004258602748	0.13029982687247094	0.4095827312159904
host_removed_fraction	Citrobacter koseri	-0.39674681851485866	0.0015476315361504975	0.022083448943808887
host_removed_fraction	Klebsiella pneumoniae	0.21135062119976555	0.10203219967118173	0.3489357231698427
host_removed_fraction	Klebsiella michiganensis	-0.4285461910606131	0.0005696469367617595	0.011929180450396721
host_removed_fraction	Klebsiella quasipneumoniae	-0.5475225123680116	4.9585760649192085e-06	0.000570236247465709
host_removed_fraction	Klebsiella aerogenes	-0.4171575377826317	0.0008240502558337315	0.015050285291606643
host_removed_fraction	Klebsiella africana	-0.2729520335713259	0.033310872890778644	0.16408465746496023
host_removed_fraction	Klebsiella quasivariicola	-0.2729520335713259	0.033310872890778644	0.16408465746496023
host_removed_fraction	Klebsiella huaxiensis	-0.27556617127726	0.03159295616214068	0.15825633633084127
host_removed_fraction	Klebsiella grimontii	-0.4866984403842135	6.973025783317e-05	0.002956998746237865
host_removed_fraction	Klebsiella electrica	-0.3132538391936353	0.013963916784139732	0.09110113017345008
host_removed_fraction	Klebsiella pasteurii	-0.31659801621720624	0.012923789980951329	0.08626454994663528
host_removed_fraction	Raoultella ornithinolytica	-0.2829593235447344	0.02713048490416393	0.143420599980329
host_removed_fraction	Raoultella planticola	-0.36507785203562415	0.0038165851592375953	0.03944482910194529
host_removed_fraction	Escherichia albertii	-0.2486142171561959	0.05335680183347981	0.2260026912079494
host_removed_fraction	Escherichia fergusonii	-0.4023969213548213	0.0013049955877856092	0.020100783344211937
host_removed_fraction	Enterobacter hormaechei	-0.39457784728234635	0.0016510369550942112	0.02295550356621767
host_removed_fraction	Enterobacter asburiae	-0.5269264893076425	1.2853908637112e-05	0.0009967288011749134
host_removed_fraction	Enterobacter roggenkampii	-0.319258047542797	0.012144805477315593	0.08297304766334744
host_removed_fraction	Enterobacter cloacae	-0.43336579976603107	0.000485336173497528	0.010674249391185503
host_removed_fraction	Enterobacter ludwigii	-0.569055578440812	1.7079518061706702e-06	0.00032331623049447445
host_removed_fraction	Enterobacter kobei	-0.3597589358169743	0.004403687366968805	0.04338281625555804
host_removed_fraction	Enterobacter bugandensis	-0.4115248697291405	0.00098449238855487	0.016996897853294637
